player id,position,team,gw1 points,gw2 points,gw3 points,gw4 points,gw5 points,gw6 points,select percentage,ict index,top players select %,win,draw,lose,gw7 points
137,MID,6,8,0,0,0,0,0,0.53508722,0,0,1.97,3.58,4.05,0
138,MID,6,6,6,2,0,1,0,8.775095142,5.9,0.009127282,1.97,3.58,4.05,1
139,DEF,6,0,0,0,0,0,0,0.050348702,0,0,1.97,3.58,4.05,0
140,MID,6,0,0,0,3,0,0,0.11283578,3.7,0,1.97,3.58,4.05,2
141,MID,6,1,3,7,3,3,1,4.527673894,0,0.004126032,1.97,3.58,4.05,0
142,DEF,6,1,18,1,0,0,1,5.291713959,0,0.016754189,1.97,3.58,4.05,0
143,GK,6,6,8,3,9,0,2,12.95899499,0.8,0.025506377,1.97,3.58,4.05,2
144,MID,7,0,3,15,8,2,4,8.24539351,5.4,0.05663916,1.97,3.58,4.05,2
145,MID,15,2,2,2,0,3,0,6.255472523,0,0.085146287,1.97,3.58,4.05,0
146,GK,7,2,9,1,6,3,3,6.653459098,1.9,0.016379095,1.97,3.58,4.05,2
147,DEF,7,0,0,0,0,0,0,0.100471518,0,0,1.97,3.58,4.05,0
148,MID,7,2,3,6,3,2,1,3.85399994,4.2,0.029882471,1.97,3.58,4.05,1
149,FWD,7,1,1,5,2,2,1,0.774585354,0.3,0.000125031,1.97,3.58,4.05,1
150,DEF,7,1,7,1,6,1,1,0.81039416,0,0.000375094,1.97,3.58,4.05,0
151,DEF,7,0,0,0,0,0,0,0.938185942,0,0.001500375,1.97,3.58,4.05,0
152,MID,7,0,0,0,1,0,3,0.044891782,3.5,0,1.97,3.58,4.05,2
153,FWD,7,2,1,2,2,2,2,0.540032925,2.8,0,1.97,3.58,4.05,1
154,MID,7,2,3,2,12,2,8,6.802460345,8.6,0.014378595,1.97,3.58,4.05,2
155,MID,7,1,3,1,0,0,1,0.040433515,7.8,0,1.97,3.58,4.05,6
156,GK,7,0,0,0,0,0,0,0.357838389,0,0.000250063,1.97,3.58,4.05,0
157,MID,7,2,0,0,0,1,0,0.030423218,0,0,1.97,3.58,4.05,0
158,DEF,7,0,0,0,0,0,0,0.040183852,0,0,1.97,3.58,4.05,0
159,FWD,7,1,0,0,0,0,0,0.078346622,0,0,1.97,3.58,4.05,0
160,MID,7,0,0,0,0,0,0,0.026868493,0,0,1.97,3.58,4.05,0
161,DEF,7,0,0,0,0,0,0,0.004363158,0,0,1.97,3.58,4.05,0
162,DEF,7,1,6,1,6,1,2,0.705333598,4.2,0.001250313,1.97,3.58,4.05,1
163,MID,8,0,1,0,0,0,0,0.420908015,0,0.004876219,1.43,4.74,8.13,0
164,MID,8,0,0,0,0,0,0,0.901057489,0,0,1.43,4.74,8.13,0
165,DEF,8,2,0,10,2,0,0,0.423951525,0,0.000500125,1.43,4.74,8.13,0
166,MID,8,0,0,0,0,0,0,0.582297301,0,0,1.43,4.74,8.13,0
167,MID,8,0,0,0,0,0,0,0.002746293,0,0,1.43,4.74,8.13,0
168,DEF,8,2,0,6,2,-1,5,8.594553138,4.8,0.019754939,1.43,4.74,8.13,2
169,DEF,8,2,1,6,9,1,8,2.866285618,1.5,0.006251563,1.43,4.74,8.13,2
170,GK,8,2,1,6,3,0,6,5.139027211,2.9,0.006376594,1.43,4.74,8.13,3
171,MID,8,2,2,8,2,2,6,6.839125138,1.2,0.056139035,1.43,4.74,8.13,2
172,MID,8,0,0,1,1,1,0,0.104501792,0,0,1.43,4.74,8.13,0
173,MID,8,8,4,3,10,2,11,4.968543058,9.3,0.030007502,1.43,4.74,8.13,5
174,MID,8,4,2,1,1,2,3,0.193595812,0,0,1.43,4.74,8.13,0
175,DEF,8,1,0,0,2,1,6,0.467416662,1.8,0.000375094,1.43,4.74,8.13,2
176,MID,8,0,0,0,0,1,1,0.083113996,0.3,0,1.43,4.74,8.13,1
177,FWD,8,7,7,9,0,0,0,3.765417135,0,0.002500625,1.43,4.74,8.13,0
178,DEF,8,2,0,6,0,0,0,0.636248283,0,0.000625156,1.43,4.74,8.13,0
179,DEF,8,0,0,0,2,0,6,0.531603827,3.6,0.000375094,1.43,4.74,8.13,2
180,FWD,8,11,2,1,2,0,0,4.435334255,0,0.000875219,1.43,4.74,8.13,0
181,GK,8,0,0,0,0,0,0,1.30897114,0,0.004626157,1.43,4.74,8.13,0
182,MID,10,0,0,0,0,0,0,0.002246967,0,0,1.43,4.74,8.13,0
183,GK,10,0,0,0,0,0,0,0.005766026,0,0,1.43,4.74,8.13,0
184,DEF,10,-1,3,2,0,2,1,0.440215286,1.9,0.000750188,1.43,4.74,8.13,7
185,DEF,10,6,1,2,1,2,0,7.230263814,0,0.142035509,1.43,4.74,8.13,0
186,MID,10,2,9,0,0,2,5,0.676990905,7.3,0.002875719,1.43,4.74,8.13,3
187,FWD,10,1,0,1,1,1,2,1.114424231,7.7,0.001250313,1.43,4.74,8.13,2
188,MID,10,5,2,2,2,2,2,7.042386474,8.3,0.00700175,1.43,4.74,8.13,3
189,FWD,10,2,4,8,2,5,0,5.799469026,0,0.027756939,1.43,4.74,8.13,0
190,DEF,10,0,0,2,0,0,0,0.082293675,7.7,0.000125031,1.43,4.74,8.13,15
191,MID,10,0,2,1,2,2,2,1.832264756,1.2,0.000375094,1.43,4.74,8.13,3
192,MID,10,1,0,0,0,0,0,0.066232023,0,0,1.43,4.74,8.13,0
193,MID,10,1,1,1,1,1,0,0.065055041,2.8,0,2.84,3.29,2.65,1
194,DEF,10,0,0,0,0,0,0,0.119707457,0,0,2.84,3.29,2.65,0
195,MID,10,0,0,0,0,0,0,0.030482662,0,0,2.84,3.29,2.65,0
196,MID,10,1,7,2,2,8,8,19.04555268,3.9,0.688672168,2.84,3.29,2.65,3
197,MID,10,0,1,4,0,1,2,0.165158009,2.5,0.000125031,2.84,3.29,2.65,3
198,DEF,10,0,1,1,-3,0,0,0.204343209,0,0.000125031,2.84,3.29,2.65,1
199,GK,10,1,3,2,2,4,1,2.891656132,1.3,0.008002001,2.84,3.29,2.65,6
200,GK,9,9,1,3,4,2,1,18.68367212,2,0.023380845,2.84,3.29,2.65,1
201,DEF,9,0,0,0,1,0,0,0.136815316,0,0,2.84,3.29,2.65,0
202,MID,9,0,0,7,2,0,0,0.199635278,0.2,0.000250063,2.84,3.29,2.65,1
203,MID,9,0,0,0,0,0,0,1.869737981,0,0.031632908,2.84,3.29,2.65,0
204,GK,9,0,0,0,0,0,0,4.953527613,0,0.021755439,2.84,3.29,2.65,0
205,FWD,9,5,2,12,2,8,11,13.00114048,7.4,0.127781945,2.84,3.29,2.65,8
206,MID,9,0,0,0,0,0,0,0.023682317,0,0,2.84,3.29,2.65,0
207,DEF,9,12,-1,4,0,1,0,3.453611845,0,0.0060015,2.84,3.29,2.65,0
208,DEF,9,6,0,2,0,0,0,12.17871495,0,0.112153038,2.84,3.29,2.65,0
209,DEF,9,0,0,2,2,1,1,0.650633627,2.8,0.000625156,2.84,3.29,2.65,1
210,MID,9,3,7,2,2,5,7,4.400999651,3.9,0.009627407,2.84,3.29,2.65,1
211,MID,9,3,-2,0,0,0,0,0.113228108,0,0.000125031,2.84,3.29,2.65,0
212,MID,9,3,2,2,2,1,1,4.235425537,2.2,0.001125281,2.84,3.29,2.65,1
213,FWD,9,1,1,1,1,1,4,2.278055848,7.2,0.00100025,2.84,3.29,2.65,9
214,MID,9,0,0,0,0,0,0,0.124510497,1.7,0,2.84,3.29,2.65,1
215,MID,9,3,2,2,2,2,1,3.835536768,6.1,0.010377594,2.84,3.29,2.65,4
216,MID,9,3,2,2,2,1,2,1.327755307,0,0.000375094,2.84,3.29,2.65,0
217,DEF,9,6,0,2,1,1,1,2.304175352,2,0.00100025,2.84,3.29,2.65,1
218,DEF,9,0,0,0,0,0,0,0.020198924,0,0,2.84,3.29,2.65,0
219,DEF,9,7,0,2,0,0,0,0.770959297,0,0.000875219,2.84,3.29,2.65,0
220,DEF,9,0,0,0,0,0,0,0.316025784,0,0,2.84,3.29,2.65,0
221,MID,11,2,0,0,0,3,0,0.086799498,3.2,0.000125031,2.84,3.29,2.65,1
222,MID,11,0,3,2,1,2,7,0.993682457,1.8,0.000375094,2.84,3.29,2.65,2
223,GK,11,0,0,0,0,0,0,0.226586992,0,0,6.69,4.24,1.55,0
224,DEF,11,6,6,2,6,0,1,3.321825455,4.3,0.014003501,6.69,4.24,1.55,1
225,MID,11,0,1,1,7,3,0,0.477890619,0,0,6.69,4.24,1.55,0
226,MID,11,0,0,0,0,0,0,0.045712104,0,0,6.69,4.24,1.55,0
227,MID,11,3,0,0,1,0,0,0.12615114,0,0,6.69,4.24,1.55,0
