Name,id,gw1,gw2,gw3,gw4,gw5,gw6,gw7,gw8,gw9,gw10,gw11,gw12,gw13,gw14,gw15,gw16,gw17,gw18,gw19,gw20,gw21,gw22,gw23,gw24,gw25,gw26,gw27,gw28,gw29,gw30,gw31,gw32,gw33,gw34,gw35,gw36,gw37,gw38,gw39,gw40,gw41,gw42,gw43,gw44,gw45,gw46,gw47,gw48,gw49
Harrison Reed,373,2,2,0,0,0,4,0,2,2,1,2,1,3,0,3,0,0,2,4,2,4,1,3,8,3,4,3,2,2,2,3,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Antonee Robinson,484,0,0,0,2,2,1,7,2,0,2,1,2,5,1,6,0,0,2,-2,0,1,1,6,1,6,2,1,1,1,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mario Lemina,493,0,1,0,0,1,2,1,0,2,1,1,1,1,2,0,0,0,0,1,1,2,1,3,5,1,2,10,2,1,2,2,5,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Alphonse Areola,516,0,1,1,3,3,3,6,4,2,2,2,3,9,3,8,0,0,3,5,10,1,2,6,8,6,8,8,2,1,1,2,2,0,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0
Kenny Tete,517,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,1,0,9,8,1,6,5,1,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Denis Odoi,525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ademola Lookman,557,0,0,0,1,10,2,2,0,5,9,2,4,3,2,3,0,0,4,8,3,2,2,3,5,11,4,3,2,5,1,0,3,0,2,2,1,1,2,0,0,0,1,1,3,2,0,0,1,2
Ola Aina,562,0,0,0,2,2,1,15,2,1,2,1,2,6,2,6,0,0,2,2,6,1,0,0,20,8,3,6,1,1,1,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Joachim Andersen,571,0,0,0,0,0,0,6,2,1,2,1,1,8,-1,6,0,0,1,3,6,1,1,6,13,7,8,7,1,7,0,2,1,0,1,1,0,1,0,1,5,1,7,1,2,0,1,1,6,6
Tosin Adarabioyo,572,0,0,0,0,2,1,6,2,1,1,1,2,9,7,6,0,0,2,3,6,1,1,6,9,6,8,9,1,1,1,0,2,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0
Terence Kongolo,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Maja,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,2,4,2,0,1,1,1,8,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Fabio Carvalho,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2,2,0,0,0,0,0,0,0,0,0,0,0
Sylvester Jasper,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrese Francois,708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Wes Morgan,216,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kasper Schmeichel,217,6,2,2,2,3,10,3,6,4,2,2,7,2,7,1,2,2,0,17,2,2,6,6,3,2,5,2,6,0,1,1,6,2,2,2,0,2,-2,9,1,3,4,2,1,1,2,3,2,3
Christian Fuchs,218,0,0,1,0,0,6,2,7,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonny Evans,219,0,0,2,0,1,5,0,5,-1,1,2,5,0,6,1,8,2,0,14,2,1,7,6,1,2,1,0,6,0,1,1,15,5,10,0,0,0,0,0,0,0,1,0,0,0,1,2,0,2
Adrien Silva,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc Albrighton,221,1,1,0,0,0,1,2,1,2,0,5,3,0,2,2,0,5,0,8,2,1,1,1,2,0,2,4,4,0,2,4,1,1,1,15,0,2,2,0,0,7,2,0,0,1,0,0,0,0
Matty James,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny Ward,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
